mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
0.0198,0.0198,0.0381,0.36,0,0,1.11,1.85,0
0.0198,0.0198,0.0381,0,1.51,1.13,0,0,0.92
0.0198,0.0198,0.0381,0.27,0,0,1.55,1.49,0
0.0198,0.0198,0.0381,0,1.22,1.75,0,0,0.43
0.0198,0.0198,0.0381,0.23,0,0,1.93,0.98,0
0.0198,0.0198,0.0381,0,0.84,2.1,0,0.32,0
0.0198,0.0198,0.0381,0,0,0.16,2.21,0.22,0
0.0198,0.0198,0.0381,0,0.08,2.14,0,0.85,0
0.0198,0.0198,0.0381,0,0,0.72,2.11,0,0.14
0.0198,0.0198,0.0381,0,0,1.7,0.72,1.33,0
0.0198,0.0198,0.0381,0,0,1.51,1.63,0,0.06
0.0198,0.0198,0.0381,0,0,0.82,1.46,1.44,0
0.0198,0.0198,0.0381,0,0,2.01,1.02,0.47,0
0.0198,0.0198,0.0381,0.22,0,0,1.98,0.97,0
0.0198,0.0198,0.0381,0,0,2.08,0.34,1.02,0
0.0198,0.0198,0.0381,0,0.94,1.32,0,1.58,0
0.0198,0.0198,0.0381,1.38,0,0,1.36,0,0.91
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.05,2.14,0,0,0,0.14
0.0198,0.0198,0.0381,0.05,0.44,0.66,0,0,2.08
0.0198,0.0198,0.0381,1.54,0.63,0,0.04,1.49,0.03
0.0198,0.0198,0.0381,0.1,2.17,0.03,0.01,0,0.25
-83.1357,44.3748,111.8105,0,0,0,0,0,0
-23.4272,62.8626,176.3561,0,0,0,0,0,0
-20.9674,64.6082,172.6177,0,0,0,0,0,0
-20.2136,64.2115,168.1926,0,0,0,0,0,0
-17.0001,63.18,165.5222,0,0,0,0,0,0
-106.5034,61.0773,132.5628,0,0,0,0,0,0
-18.7854,63.8544,163.0045,0,0,0,0,0,0
-110.0343,56.3958,139.2004,0,0,0,0,0,0
-111.0262,54.9676,139.7345,0,0,0,0,0,0
-110.6691,53.9361,143.8544,0,0,0,0,0,0
-112.0577,51.0796,148.5847,0,0,0,0,0,0
-28.0293,76.9467,152.018,0,0,0,0,0,0
-112.3751,46.4378,152.9335,0,0,0,0,0,0
-31.1635,80.4776,150.3395,0,0,0,0,0,0
